misra1,misra2,poet
گھر میں تھا کیا کہ ترا غم اسے غارت کرتا ,وہ جو رکھتے تھے ہم اک حسرت تعمیر سو ہے ,Mirza Ghalib
جب مے کدہ چھٹا تو پھر اب کیا جگہ کی قید ,مسجد ہو مدرسہ ہو کوئی خانقاہ ہو ,Mirza Ghalib
زندگی میں تو وہ محفل سے اٹھا دیتے تھے ,دیکھوں اب مر گئے پر کون اٹھاتا ہے مجھے ,Mirza Ghalib
ایک ہنگامہ پہ موقوف ہے گھر کی رونق ,نوحۂ غم ہی سہی نغمۂ شادی نہ سہی ,Mirza Ghalib
کسی کو دے کے دل کوئی نواسنج فغاں کیوں ہو ,نہ ہو جب دل ہی سینے میں تو پھر منہ میں زباں کیوں ہو ,Mirza Ghalib
سبزہ و گل کہاں سے آئے ہیں ,ابر کیا چیز ہے ہوا کیا ہے ,Mirza Ghalib
کس سے محرومیٔ قسمت کی شکایت کیجے ,ہم نے چاہا تھا کہ مر جائیں سو وہ بھی نہ ہوا ,Mirza Ghalib
غالبؔ اپنا یہ عقیدہ ہے بقول ناسخؔ ,آپ بے بہرہ ہے جو معتقد میرؔ نہیں ,Mirza Ghalib
بے در و دیوار سا اک گھر بنایا چاہیئے ,کوئی ہمسایہ نہ ہو اور پاسباں کوئی نہ ہو ,Mirza Ghalib
کیا فرض ہے کہ سب کو ملے ایک سا جواب ,آؤ نہ ہم بھی سیر کریں کوہ طور کی ,Mirza Ghalib
کی وفا ہم سے تو غیر اس کو جفا کہتے ہیں ,ہوتی آئی ہے کہ اچھوں کو برا کہتے ہیں ,Mirza Ghalib
آج واں تیغ و کفن باندھے ہوے جاتا ہوں میں ,عذر میرے قتل کرنے میں وہ اب لاویں گے کیا ,Mirza Ghalib
ہستی کے مت فریب میں آ جائیو اسدؔ ,عالم تمام حلقۂ دام خیال ہے ,Mirza Ghalib
آنکھ کی تصویر سر نامے پہ کھینچی ہے کہ تا ,تجھ پہ کھل جاوے کہ اس کو حسرت دیدار ہے ,Mirza Ghalib
یارب زمانہ مجھ کو مٹاتا ہے کس لیے ,لوح جہاں پہ حرف مکرر نہیں ہوں میں ,Mirza Ghalib
یا رب ہمیں تو خواب میں بھی مت دکھائیو ,یہ محشر خیال کہ دنیا کہیں جسے ,Mirza Ghalib
بوئے گل نالۂ دل دود چراغ محفل ,جو تری بزم سے نکلا سو پریشاں نکلا ,Mirza Ghalib
چھوڑوں گا میں نہ اس بت کافر کا پوجنا ,چھوڑے نہ خلق گو مجھے کافر کہے بغیر ,Mirza Ghalib
کیوں گردش مدام سے گھبرا نہ جائے دل ,انسان ہوں پیالہ و ساغر نہیں ہوں میں ,Mirza Ghalib
اس انجمن ناز کی کیا بات ہے غالبؔ ,ہم بھی گئے واں اور تری تقدیر کو رو آئے ,Mirza Ghalib
بہرا ہوں میں تو چاہئے دونا ہو التفات ,سنتا نہیں ہوں بات مکرر کہے بغیر ,Mirza Ghalib
دیکھنا تقریر کی لذت کہ جو اس نے کہا ,میں نے یہ جانا کہ گویا یہ بھی میرے دل میں ہے ,Mirza Ghalib
تو نے قسم مے کشی کی کھائی ہے غالبؔ ,تیری قسم کا کچھ اعتبار نہیں ہے ,Mirza Ghalib
دل سے مٹنا تری انگشت حنائی کا خیال ,ہو گیا گوشت سے ناخن کا جدا ہو جانا ,Mirza Ghalib
منحصر مرنے پہ ہو جس کی امید ,نا امیدی اس کی دیکھا چاہئے ,Mirza Ghalib
جو یہ کہے کہ ریختہ کیونکے ہو رشک فارسی ,گفتۂ غالبؔ ایک بار پڑھ کے اسے سنا کہ یوں ,Mirza Ghalib
گنجایش عداوت اغیار یک طرف ,یاں دل میں ضعف سے ہوس یار بھی نہیں ,Mirza Ghalib
بسکہ ہوں غالبؔ اسیری میں بھی آتش زیر پا ,موئے آتش دیدہ ہے حلقہ مری زنجیر کا ,Mirza Ghalib
دوست غمخواری میں میری سعی فرماویں گے کیا ,زخم کے بھرتے تلک ناخن نہ بڑھ جاویں گے کیا ,Mirza Ghalib
مجھ تک کب ان کی بزم میں آتا تھا دور جام ,ساقی نے کچھ ملا نہ دیا ہو شراب میں ,Mirza Ghalib
مے وہ کیوں بہت پیتے بزم غیر میں یا رب ,آج ہی ہوا منظور ان کو امتحاں اپنا ,Mirza Ghalib
غیر لیں محفل میں بوسے جام کے ,ہم رہیں یوں تشنہ لب پیغام کے ,Mirza Ghalib
ہے خبر گرم ان کے آنے کی ,آج ہی گھر میں بوریا نہ ہوا ,Mirza Ghalib
سو بار بند عشق سے آزاد ہم ہوئے ,پر کیا کریں کہ دل ہی عدو ہے فراغ کا ,Mirza Ghalib
زمانہ سخت کم آزار ہے بہ جان اسدؔ ,وگرنہ ہم تو توقع زیادہ رکھتے ہیں ,Mirza Ghalib
پھر مجھے دیدۂ تر یاد آیا ,دل جگر تشنۂ فریاد آیا ,Mirza Ghalib
بہت دنوں میں تغافل نے تیرے پیدا کی ,وہ اک نگہ کہ بہ ظاہر نگاہ سے کم ہے ,Mirza Ghalib
ناکردہ گناہوں کی بھی حسرت کی ملے داد ,یا رب اگر ان کردہ گناہوں کی سزا ہے ,Mirza Ghalib
تنگی دل کا گلہ کیا یہ وہ کافر دل ہے ,کہ اگر تنگ نہ ہوتا تو پریشاں ہوتا ,Mirza Ghalib
جانتا ہوں ثواب طاعت و زہد ,پر طبیعت ادھر نہیں آتی ,Mirza Ghalib
سنبھلنے دے مجھے اے نا امیدی کیا قیامت ہے ,کہ دامان خیال یار چھوٹا جائے ہے مجھ سے ,Mirza Ghalib
کھلے گا کس طرح مضموں مرے مکتوب کا یا رب ,قسم کھائی ہے اس کافر نے کاغذ کے جلانے کی ,Mirza Ghalib
ہوئی جن سے توقع خستگی کی داد پانے کی ,وہ ہم سے بھی زیادہ خستۂ تیغ ستم نکلے ,Mirza Ghalib
سایہ کی طرح ساتھ پھریں سرو و صنوبر ,تو اس قد دل کش سے جو گلزار میں آوے ,Mirza Ghalib
بندگی میں بھی وہ آزادہ و خودبیں ہیں کہ ہم ,الٹے پھر آئے در کعبہ اگر وا نہ ہوا ,Mirza Ghalib
اب جفا سے بھی ہیں محروم ہم اللہ اللہ ,اس قدر دشمن ارباب وفا ہو جانا ,Mirza Ghalib
ہے تماشا گاہ سوز تازہ ہر یک عضو تن ,جوں چراغان دوالی صف بہ صف جلتا ہوں میں ,Mirza Ghalib
ایک ایک قطرہ کا مجھے دینا پڑا حساب ,خون جگر ودیعت مژگان یار تھا ,Mirza Ghalib
کام اس سے آ پڑا ہے کہ جس کا جہان میں ,لیوے نہ کوئی نام ستمگر کہے بغیر ,Mirza Ghalib
ہوس کو ہے نشاط کار کیا کیا ,نہ ہو مرنا تو جینے کا مزا کیا ,Mirza Ghalib
اہل بینش کو ہے طوفان حوادث مکتب ,لطمۂ موج کم از سیلئ استاد نہیں ,Mirza Ghalib
پر ہوں میں شکوے سے یوں راگ سے جیسے باجا ,اک ذرا چھیڑئیے پھر دیکھیے کیا ہوتا ہے ,Mirza Ghalib
یہ لاش بے کفن اسدؔ خستہ جاں کی ہے ,حق مغفرت کرے عجب آزاد مرد تھا ,Mirza Ghalib
بات پر واں زبان کٹتی ہے ,وہ کہیں اور سنا کرے کوئی ,Mirza Ghalib
کبھی نیکی بھی اس کے جی میں گر آ جائے ہے مجھ سے ,جفائیں کر کے اپنی یاد شرما جائے ہے مجھ سے ,Mirza Ghalib
ہر اک مکان کو ہے مکیں سے شرف اسدؔ ,مجنوں جو مر گیا ہے تو جنگل اداس ہے ,Mirza Ghalib
نہ لٹتا دن کو تو کب رات کو یوں بے خبر سوتا ,رہا کھٹکا نہ چوری کا دعا دیتا ہوں رہزن کو ,Mirza Ghalib
ہر چند ہو مشاہدۂ حق کی گفتگو ,بنتی نہیں ہے بادہ و ساغر کہے بغیر ,Mirza Ghalib
وفا داری بشرط استواری اصل ایماں ہے ,مرے بت خانے میں تو کعبہ میں گاڑو برہمن کو ,Mirza Ghalib
ادائے خاص سے غالبؔ ہوا ہے نکتہ سرا ,صلائے عام ہے یاران نکتہ داں کے لیے ,Mirza Ghalib
دام ہر موج میں ہے حلقۂ صد کام نہنگ ,دیکھیں کیا گزرے ہے قطرے پہ گہر ہوتے تک ,Mirza Ghalib
بارہا دیکھی ہیں ان کی رنجشیں ,پر کچھ اب کے سرگرانی اور ہے ,Mirza Ghalib
میں بھلا کب تھا سخن گوئی پہ مائل غالبؔ ,شعر نے کی یہ تمنا کے بنے فن میرا ,Mirza Ghalib
اپنا نہیں یہ شیوہ کہ آرام سے بیٹھیں ,اس در پہ نہیں بار تو کعبہ ہی کو ہو آئے ,Mirza Ghalib
نہ ہوئی گر مرے مرنے سے تسلی نہ سہی ,امتحاں اور بھی باقی ہو تو یہ بھی نہ سہی ,Mirza Ghalib
دل ہر قطرہ ہے ساز انا البحر ,ہم اس کے ہیں ہمارا پوچھنا کیا ,Mirza Ghalib
لازم تھا کہ دیکھو مرا رستا کوئی دن اور ,تنہا گئے کیوں اب رہو تنہا کوئی دن اور ,Mirza Ghalib
چھوڑا نہ رشک نے کہ ترے گھر کا نام لوں ,ہر اک سے پوچھتا ہوں کہ جاؤں کدھر کو میں ,Mirza Ghalib
دم لیا تھا نہ قیامت نے ہنوز ,پھر ترا وقت سفر یاد آیا ,Mirza Ghalib
پکڑے جاتے ہیں فرشتوں کے لکھے پر نا حق ,آدمی کوئی ہمارا دم تحریر بھی تھا ,Mirza Ghalib
پھونکا ہے کس نے گوش محبت میں اے خدا ,افسون انتظار تمنا کہیں جسے ,Mirza Ghalib
بوسہ کیسا یہی غنیمت ہے ,کہ نہ سمجھے وہ لذت دشنام ,Mirza Ghalib
چلتا ہوں تھوڑی دور ہر اک تیزرو کے ساتھ ,پہچانتا نہیں ہوں ابھی راہ بر کو میں ,Mirza Ghalib
عمر بھر دیکھا کیے مرنے کی راہ ,مر گئے پر دیکھیے دکھلائیں کیا ,Mirza Ghalib
تجھ سے تو کچھ کلام نہیں لیکن اے ندیم ,میرا سلام کہیو اگر نامہ بر ملے ,Mirza Ghalib
نظر لگے نہ کہیں اس کے دست و بازو کو ,یہ لوگ کیوں مرے زخم جگر کو دیکھتے ہیں ,Mirza Ghalib
لکھتے رہے جنوں کی حکایات خوں چکاں ,ہر چند اس میں ہاتھ ہمارے قلم ہوئے ,Mirza Ghalib
مضمحل ہو گئے قویٰ غالب ,وہ عناصر میں اعتدال کہاں ,Mirza Ghalib
دل میں ذوق وصل و یاد یار تک باقی نہیں ,آگ اس گھر میں لگی ایسی کہ جو تھا جل گیا ,Mirza Ghalib
لیتا نہیں مرے دل آوارہ کی خبر ,اب تک وہ جانتا ہے کہ میرے ہی پاس ہے ,Mirza Ghalib
حیراں ہوں دل کو روؤں کہ پیٹوں جگر کو میں ,مقدور ہو تو ساتھ رکھوں نوحہ گر کو میں ,Mirza Ghalib
خوب تھا پہلے سے ہوتے جو ہم اپنے بد خواہ ,کہ بھلا چاہتے ہیں اور برا ہوتا ہے ,Mirza Ghalib
نہ گل نغمہ ہوں نہ پردۂ ساز ,میں ہوں اپنی شکست کی آواز ,Mirza Ghalib
بھاگے تھے ہم بہت سو اسی کی سزا ہے یہ ,ہو کر اسیر دابتے ہیں راہزن کے پانو ,Mirza Ghalib
ڈھانپا کفن نے داغ عیوب برہنگی ,میں ورنہ ہر لباس میں ننگ وجود تھا ,Mirza Ghalib
میں نے مجنوں پہ لڑکپن میں اسدؔ ,سنگ اٹھایا تھا کہ سر یاد آیا ,Mirza Ghalib
پی جس قدر ملے شب مہتاب میں شراب ,اس بلغمی مزاج کو گرمی ہی راس ہے ,Mirza Ghalib
شعر غالبؔ کا نہیں وحی یہ تسلیم مگر ,بخدا تم ہی بتا دو نہیں لگتا الہام ,Mirza Ghalib
ہوں گرفتار الفت صیاد ,ورنہ باقی ہے طاقت پرواز ,Mirza Ghalib
ضد کی ہے اور بات مگر خو بری نہیں ,بھولے سے اس نے سیکڑوں وعدے وفا کئے ,Mirza Ghalib
رکھیو غالبؔ مجھے اس تلخ نوائی میں معاف ,آج کچھ درد مرے دل میں سوا ہوتا ہے ,Mirza Ghalib
میں نے چاہا تھا کہ اندوہ وفا سے چھوٹوں ,وہ ستم گر مرے مرنے پہ بھی راضی نہ ہوا ,Mirza Ghalib
ایک ایک قطرے کا مجھے دینا پڑا حساب ,خون جگر ودیعت مژگان یار تھا ,Mirza Ghalib
گنجینۂ معنی کا طلسم اس کو سمجھیے ,جو لفظ کہ غالبؔ مرے اشعار میں آوے ,Mirza Ghalib
تاب لائے ہی بنے گی غالبؔ ,واقعہ سخت ہے اور جان عزیز ,Mirza Ghalib
گر تجھ کو ہے یقین اجابت دعا نہ مانگ ,یعنی بغیر یک دل بے مدعا نہ مانگ ,Mirza Ghalib
مرتے مرتے دیکھنے کی آرزو رہ جائے گی ,وائے ناکامی کہ اس کافر کا خنجر تیز ہے ,Mirza Ghalib
ہے پرے سرحد ادراک سے اپنا مسجود ,قبلے کو اہل نظر قبلہ نما کہتے ہیں ,Mirza Ghalib
ہے اب اس معمورہ میں قحط غم الفت اسدؔ ,ہم نے یہ مانا کہ دلی میں رہیں کھاویں گے کیا ,Mirza Ghalib
قیامت ہے کہ ہووے مدعی کا ہم سفر غالبؔ ,وہ کافر جو خدا کو بھی نہ سونپا جائے ہے مجھ سے ,Mirza Ghalib
ہمارے شعر ہیں اب صرف دل لگی کے اسدؔ ,کھلا کہ فائدہ عرض ہنر میں خاک نہیں ,Mirza Ghalib
دیکھیے لاتی ہے اس شوخ کی نخوت کیا رنگ ,اس کی ہر بات پہ ہم نام خدا کہتے ہیں ,Mirza Ghalib
اللہ رے ذوق دشت نوردی کہ بعد مرگ ,ہلتے ہیں خود بہ خود مرے اندر کفن کے پاؤں ,Mirza Ghalib
داغ فراق صحبت شب کی جلی ہوئی ,اک شمع رہ گئی ہے سو وہ بھی خموش ہے ,Mirza Ghalib
حضرت ناصح گر آویں دیدہ و دل فرش راہ ,کوئی مجھ کو یہ تو سمجھا دو کہ سمجھائیں گے کیا ,Mirza Ghalib
بے عشق عمر کٹ نہیں سکتی ہے اور یاں ,طاقت بقدر لذت آزار بھی نہیں ,Mirza Ghalib
میں اور بزم مے سے یوں تشنہ کام آؤں ,گر میں نے کی تھی توبہ ساقی کو کیا ہوا تھا ,Mirza Ghalib
عمر بھر کا تو نے پیمان وفا باندھا تو کیا ,عمر کو بھی تو نہیں ہے پائیداری ہاے ہاے ,Mirza Ghalib
دونوں جہان دے کے وہ سمجھے یہ خوش رہا ,یاں آ پڑی یہ شرم کہ تکرار کیا کریں ,Mirza Ghalib
ہے غیب غیب جس کو سمجھتے ہیں ہم شہود ,ہیں خواب میں ہنوز جو جاگے ہیں خواب میں ,Mirza Ghalib
شوریدگی کے ہاتھ سے ہے سر وبال دوش ,صحرا میں اے خدا کوئی دیوار بھی نہیں ,Mirza Ghalib
صحبت میں غیر کی نہ پڑی ہو کہیں یہ خو ,دینے لگا ہے بوسہ بغیر التجا کیے ,Mirza Ghalib
کانٹوں کی زباں سوکھ گئی پیاس سے یا رب ,اک آبلہ پا وادی پر خار میں آوے ,Mirza Ghalib
دل ہی تو ہے سیاست درباں سے ڈر گیا ,میں اور جاؤں در سے ترے بن صدا کیے ,Mirza Ghalib
غیر کو یا رب وہ کیونکر منع گستاخی کرے ,گر حیا بھی اس کو آتی ہے تو شرما جائے ہے ,Mirza Ghalib
تماشا کہ اے محو آئینہ داری ,تجھے کس تمنا سے ہم دیکھتے ہیں ,Mirza Ghalib
رشک کہتا ہے کہ اس کا غیر سے اخلاص حیف ,عقل کہتی ہے کہ وہ بے مہر کس کا آشنا ,Mirza Ghalib
محبت تھی چمن سے لیکن اب یہ بے دماغی ہے ,کہ موج بوئے گل سے ناک میں آتا ہے دم میرا ,Mirza Ghalib
نظارہ نے بھی کام کیا واں نقاب کا ,مستی سے ہر نگہ ترے رخ پر بکھر گئی ,Mirza Ghalib
گر کیا ناصح نے ہم کو قید اچھا یوں سہی ,یہ جنون عشق کے انداز چھٹ جاویں گے کیا ,Mirza Ghalib
ہاں اے فلک پیر جواں تھا ابھی عارف ,کیا تیرا بگڑتا جو نہ مرتا کوئی دن اور ,Mirza Ghalib
ہے خیال حسن میں حسن عمل کا سا خیال ,خلد کا اک در ہے میری گور کے اندر کھلا ,Mirza Ghalib
قطرہ اپنا بھی حقیقت میں ہے دریا لیکن ,ہم کو تقلید تنک ظرفی منصور نہیں ,Mirza Ghalib
رہے نہ جان تو قاتل کو خوں بہا دیجے ,کٹے زبان تو خنجر کو مرحبا کہیے ,Mirza Ghalib
تم مرے پاس ہوتے ہو گویا ,جب کوئی دوسرا نہیں ہوتا ,Momin Khan Momin
عمر تو ساری کٹی عشق بتاں میں مومنؔ ,آخری وقت میں کیا خاک مسلماں ہوں گے ,Momin Khan Momin
وہ جو ہم میں تم میں قرار تھا تمہیں یاد ہو کہ نہ یاد ہو ,وہی یعنی وعدہ نباہ کا تمہیں یاد ہو کہ نہ یاد ہو ,Momin Khan Momin
تھی وصل میں بھی فکر جدائی تمام شب ,وہ آئے تو بھی نیند نہ آئی تمام شب ,Momin Khan Momin
تم ہمارے کسی طرح نہ ہوئے ,ورنہ دنیا میں کیا نہیں ہوتا ,Momin Khan Momin
میں بھی کچھ خوش نہیں وفا کر کے ,تم نے اچھا کیا نباہ نہ کی ,Momin Khan Momin
کیا جانے کیا لکھا تھا اسے اضطراب میں ,قاصد کی لاش آئی ہے خط کے جواب میں ,Momin Khan Momin
رویا کریں گے آپ بھی پہروں اسی طرح ,اٹکا کہیں جو آپ کا دل بھی مری طرح ,Momin Khan Momin
ہاتھ ٹوٹیں میں نے گر چھیڑی ہوں زلفیں آپ کی ,آپ کے سر کی قسم باد صبا تھی میں نہ تھا ,Momin Khan Momin
آپ کی کون سی بڑھی عزت ,میں اگر بزم میں ذلیل ہوا ,Momin Khan Momin
شب جو مسجد میں جا پھنسے مومنؔ ,رات کاٹی خدا خدا کر کے ,Momin Khan Momin
کسی کا ہوا آج کل تھا کسی کا ,نہ ہے تو کسی کا نہ ہوگا کسی کا ,Momin Khan Momin
کس پہ مرتے ہو آپ پوچھتے ہیں ,مجھ کو فکر جواب نے مارا ,Momin Khan Momin
چل دئیے سوئے حرم کوئے بتاں سے مومنؔ ,جب دیا رنج بتوں نے تو خدا یاد آیا ,Momin Khan Momin
ٹھانی تھی دل میں اب نہ ملیں گے کسی سے ہم ,پر کیا کریں کہ ہو گئے ناچار جی سے ہم ,Momin Khan Momin
مانگا کریں گے اب سے دعا ہجر یار کی ,آخر تو دشمنی ہے اثر کو دعا کے ساتھ ,Momin Khan Momin
ہے کچھ تو بات مومنؔ جو چھا گئی خموشی ,کس بت کو دے دیا دل کیوں بت سے بن گئے ہو ,Momin Khan Momin
وہ آئے ہیں پشیماں لاش پر اب ,تجھے اے زندگی لاؤں کہاں سے ,Momin Khan Momin
اس نقش پا کے سجدے نے کیا کیا کیا ذلیل ,میں کوچۂ رقیب میں بھی سر کے بل گیا ,Momin Khan Momin
نہ کرو اب نباہ کی باتیں ,تم کو اے مہربان دیکھ لیا ,Momin Khan Momin
حال دل یار کو لکھوں کیوں کر ,ہاتھ دل سے جدا نہیں ہوتا ,Momin Khan Momin
ہنس ہنس کے وہ مجھ سے ہی مرے قتل کی باتیں ,اس طرح سے کرتے ہیں کہ گویا نہ کریں گے ,Momin Khan Momin
الجھا ہے پانوں یار کا زلف دراز میں ,لو آپ اپنے دام میں صیاد آ گیا ,Momin Khan Momin
ڈرتا ہوں آسمان سے بجلی نہ گر پڑے ,صیاد کی نگاہ سوئے آشیاں نہیں ,Momin Khan Momin
مومنؔ خدا کے واسطے ایسا مکاں نہ چھوڑ ,دوزخ میں ڈال خلد کو کوئے بتاں نہ چھوڑ ,Momin Khan Momin
بہر عیادت آئے وہ لیکن قضا کے ساتھ ,دم ہی نکل گیا مرا آواز پا کے ساتھ ,Momin Khan Momin
معشوق سے بھی ہم نے نبھائی برابری ,واں لطف کم ہوا تو یہاں پیار کم ہوا ,Momin Khan Momin
کل تم جو بزم غیر میں آنکھیں چرا گئے ,کھوئے گئے ہم ایسے کہ اغیار پا گئے ,Momin Khan Momin
چارۂ دل سوائے صبر نہیں ,سو تمہارے سوا نہیں ہوتا ,Momin Khan Momin
اس غیرت ناہید کی ہر تان ہے دیپک ,شعلہ سا لپک جائے ہے آواز تو دیکھو ,Momin Khan Momin
مجلس میں مرے ذکر کے آتے ہی اٹھے وہ ,بدنامی عشاق کا اعزاز تو دیکھو ,Momin Khan Momin
ہو گیا راز عشق بے پردہ ,اس نے پردہ سے جو نکالا منہ ,Momin Khan Momin
ہم سمجھتے ہیں آزمانے کو ,عذر کچھ چاہیے ستانے کو ,Momin Khan Momin
غیروں پہ کھل نہ جائے کہیں راز دیکھنا ,میری طرف بھی غمزۂ غماز دیکھنا ,Momin Khan Momin
نہ مانوں گا نصیحت پر نہ سنتا میں تو کیا کرتا ,کہ ہر ہر بات میں ناصح تمہارا نام لیتا تھا ,Momin Khan Momin
کیا ملا عرض مدعا کر کے ,بات بھی کھوئی التجا کر کے ,Momin Khan Momin
سوز غم سے اشک کا ایک ایک قطرہ جل گیا ,آگ پانی میں لگی ایسی کہ دریا جل گیا ,Momin Khan Momin
اتنی کدورت اشک میں حیراں ہوں کیا کہوں ,دریا میں ہے سراب کہ دریا سراب میں ,Momin Khan Momin
کر علاج جوش وحشت چارہ گر ,لا دے اک جنگل مجھے بازار سے ,Momin Khan Momin
رہ کے مسجد میں کیا ہی گھبرایا ,رات کاٹی خدا خدا کر کے ,Momin Khan Momin
ہے کس کا انتظار کہ خواب عدم سے بھی ,ہر بار چونک پڑتے ہیں آواز پا کے ساتھ ,Momin Khan Momin
کچھ قفس میں ان دنوں لگتا ہے جی ,آشیاں اپنا ہوا برباد کیا ,Momin Khan Momin
ہو گئے نام بتاں سنتے ہی مومنؔ بے قرار ,ہم نہ کہتے تھے کہ حضرت پارسا کہنے کو ہیں ,Momin Khan Momin
راز نہاں زبان اغیار تک نہ پہنچا ,کیا ایک بھی ہمارا خط یار تک نہ پہنچا ,Momin Khan Momin
تو کہاں جائے گی کچھ اپنا ٹھکانہ کر لے ,ہم تو کل خواب عدم میں شب ہجراں ہوں گے ,Momin Khan Momin
بے خود تھے غش تھے محو تھے دنیا کا غم نہ تھا ,جینا وصال میں بھی تو ہجراں سے کم نہ تھا ,Momin Khan Momin
صاحب نے اس غلام کو آزاد کر دیا ,لو بندگی کہ چھوٹ گئے بندگی سے ہم ,Momin Khan Momin
لے شب وصل غیر بھی کاٹی ,تو مجھے آزمائے گا کب تک ,Momin Khan Momin
مومن میں اپنے نالوں کے صدقے کہ کہتے ہیں ,اس کو بھی آج نیند نہ آئی تمام شب ,Momin Khan Momin
تاب نظارہ نہیں آئنہ کیا دیکھنے دوں ,اور بن جائیں گے تصویر جو حیراں ہوں گے ,Momin Khan Momin
محشر میں پاس کیوں دم فریاد آ گیا ,رحم اس نے کب کیا تھا کہ اب یاد آ گیا ,Momin Khan Momin
گو آپ نے جواب برا ہی دیا ولے ,مجھ سے بیاں نہ کیجے عدو کے پیام کو ,Momin Khan Momin
دھو دیا اشک ندامت نے گناہوں کو مرے ,تر ہوا دامن تو بارے پاک دامن ہو گیا ,Momin Khan Momin
نے جائے واں بنے ہے نے بن جائے چین ہے ,کیا کیجئے ہمیں تو ہے مشکل سبھی طرح ,Momin Khan Momin
ناوک انداز جدھر دیدۂ جاناں ہوں گے ,نیم بسمل کئی ہوں گے کئی بے جاں ہوں گے ,Momin Khan Momin
گو کہ ہم صفحۂ ہستی پہ تھے ایک حرف غلط ,لیکن اٹھے بھی تو اک نقش بٹھا کر اٹھے ,Momin Khan Momin
اعجاز جاں دہی ہے ہمارے کلام کو ,زندہ کیا ہے ہم نے مسیحا کے نام کو ,Momin Khan Momin
دیدۂ حیراں نے تماشا کیا ,دیر تلک وہ مجھے دیکھا کیا ,Momin Khan Momin
کبھی ہم میں تم میں بھی چاہ تھی کبھی ہم سے تم سے بھی راہ تھی ,کبھی ہم بھی تم بھی تھے آشنا تمہیں یاد ہو کہ نہ یاد ہو ,Momin Khan Momin
ناصحا دل میں تو اتنا تو سمجھ اپنے کہ ہم ,لاکھ ناداں ہوئے کیا تجھ سے بھی ناداں ہوں گے ,Momin Khan Momin
پیہم سجود پائے صنم پر دم وداع ,مومنؔ خدا کو بھول گئے اضطراب میں ,Momin Khan Momin
میرے تغییر رنگ کو مت دیکھ ,تجھ کو اپنی نظر نہ ہو جائے ,Momin Khan Momin
اب شور ہے مثال جودی اس خرام کو ,یوں کون جانتا تھا قیامت کے نام کو ,Momin Khan Momin
دشنام یار طبع حزیں پر گراں نہیں ,اے ہم نشیں نزاکت آواز دیکھنا ,Momin Khan Momin
الٹے وہ شکوے کرتے ہیں اور کس ادا کے ساتھ ,بے طاقتی کے طعنے ہیں عذر جفا کے ساتھ ,Momin Khan Momin
سینہ کوبی سے زمیں ساری ہلا کے اٹھے ,کیا علم دھوم سے تیرے شہدا کے اٹھے ,Momin Khan Momin
کیا تم نے قتل جہاں اک نظر میں ,کسی نے نہ دیکھا تماشا کسی کا ,Momin Khan Momin
سن کے میری مرگ بولے مر گیا اچھا ہوا ,کیا برا لگتا تھا جس دم سامنے آ جائے تھا ,Momin Khan Momin
وہ تو خوش بو ہے ہواؤں میں بکھر جائے گا ,مسئلہ پھول کا ہے پھول کدھر جائے گا ,Perveen Shakir
حسن کے سمجھنے کو عمر چاہیئے جاناں ,دو گھڑی کی چاہت میں لڑکیاں نہیں کھلتیں ,Perveen Shakir
میں سچ کہوں گی مگر پھر بھی ہار جاؤں گی ,وہ جھوٹ بولے گا اور لا جواب کر دے گا ,Perveen Shakir
اتنے گھنے بادل کے پیچھے ,کتنا تنہا ہوگا چاند ,Perveen Shakir
کچھ تو ہوا بھی سرد تھی کچھ تھا ترا خیال بھی ,دل کو خوشی کے ساتھ ساتھ ہوتا رہا ملال بھی ,Perveen Shakir
وہ نہ آئے گا ہمیں معلوم تھا اس شام بھی ,انتظار اس کا مگر کچھ سوچ کر کرتے رہے ,Perveen Shakir
کیسے کہہ دوں کہ مجھے چھوڑ دیا ہے اس نے ,بات تو سچ ہے مگر بات ہے رسوائی کی ,Perveen Shakir
چلنے کا حوصلہ نہیں رکنا محال کر دیا ,عشق کے اس سفر نے تو مجھ کو نڈھال کر دیا ,Perveen Shakir
کچھ تو ترے موسم ہی مجھے راس کم آئے ,اور کچھ مری مٹی میں بغاوت بھی بہت تھی ,Perveen Shakir
دشمنوں کے ساتھ میرے دوست بھی آزاد ہیں ,دیکھنا ہے کھینچتا ہے مجھ پہ پہلا تیر کون ,Perveen Shakir
اب تو اس راہ سے وہ شخص گزرتا بھی نہیں ,اب کس امید پہ دروازے سے جھانکے کوئی ,Perveen Shakir
ہم تو سمجھے تھے کہ اک زخم ہے بھر جائے گا ,کیا خبر تھی کہ رگ جاں میں اتر جائے گا ,Perveen Shakir
وہ مجھ کو چھوڑ کے جس آدمی کے پاس گیا ,برابری کا بھی ہوتا تو صبر آ جاتا ,Perveen Shakir
اب بھی برسات کی راتوں میں بدن ٹوٹتا ہے ,جاگ اٹھتی ہیں عجب خواہشیں انگڑائی کی ,Perveen Shakir
رات کے شاید ایک بجے ہیں ,سوتا ہوگا میرا چاند ,Perveen Shakir
بس یہ ہوا کہ اس نے تکلف سے بات کی ,اور ہم نے روتے روتے دوپٹے بھگو لئے ,Perveen Shakir
یوں بچھڑنا بھی بہت آساں نہ تھا اس سے مگر ,جاتے جاتے اس کا وہ مڑ کر دوبارہ دیکھنا ,Perveen Shakir
میں پھول چنتی رہی اور مجھے خبر نہ ہوئی ,وہ شخص آ کے مرے شہر سے چلا بھی گیا ,Perveen Shakir
